Controller Class Name,Method,EndPoint,Description,Parameters,Function Name,Response Type,Sample Response JSON
UserController,PUT,/api/v1/users/{userId}/deactivate,Deactivate a user account,@PathVariable Long userId,"deactivateUser(Long userId)","ResponseEntity<UserResponseDto>","{""id"": 1, ""username"": ""john_doe"", ""isActive"": false, ""updatedAt"": ""2024-01-20T15:00:00""}"
UserController,PUT,/api/v1/users/{userId}/verify-email,Mark user email as verified,@PathVariable Long userId,"verifyEmail(Long userId)","ResponseEntity<UserResponseDto>","{""id"": 1, ""username"": ""john_doe"", ""emailVerified"": true, ""updatedAt"": ""2024-01-20T15:00:00""}"
UserController,PUT,/api/v1/users/{userId}/password,Update user password,@PathVariable Long userId / @RequestBody PasswordChangeDto,"updatePassword(Long userId, PasswordChangeDto passwordChangeDto)","ResponseEntity<UserResponseDto>","{""id"": 1, ""username"": ""john_doe"", ""updatedAt"": ""2024-01-20T15:30:00"", ""message"": ""Password updated successfully""}"
UserController,PUT,/api/v1/users/reset-password,Reset user password using token,@RequestBody PasswordResetDto,"resetPassword(PasswordResetDto passwordResetDto)","ResponseEntity<UserResponseDto>","{""id"": 1, ""username"": ""john_doe"", ""message"": ""Password reset successfully""}"
UserController,PUT,/api/v1/users/{userId}/profile,Update user profile information,@PathVariable Long userId / @RequestBody UserProfileDto,"updateProfile(Long userId, UserProfileDto userProfileDto)","ResponseEntity<UserResponseDto>","{""id"": 1, ""username"": ""john_doe"", ""firstName"": ""John"", ""lastName"": ""Doe"", ""bio"": ""Wildlife photographer"", ""updatedAt"": ""2024-01-20T16:00:00""}"
UserController,PUT,/api/v1/users/{userId}/profile-image,Update user profile image URL,@PathVariable Long userId / @RequestParam String imageUrl,"updateProfileImage(Long userId, String imageUrl)","ResponseEntity<UserResponseDto>","{""id"": 1, ""username"": ""john_doe"", ""profileImageUrl"": ""https://example.com/new-profile.jpg"", ""updatedAt"": ""2024-01-20T16:15:00""}"
UserController,GET,/api/v1/users/exists/email,Check if email already exists,@RequestParam String email,"emailExists(String email)",ResponseEntity<Boolean>,"{""exists"": true}"
UserController,GET,/api/v1/users/exists/username,Check if username already exists,@RequestParam String username,"usernameExists(String username)",ResponseEntity<Boolean>,"{""exists"": false}"
UserController,GET,/api/v1/users/created-between,Get users created between date range,@RequestParam LocalDateTime startDate / @RequestParam LocalDateTime endDate,"getUsersCreatedBetween(LocalDateTime startDate, LocalDateTime endDate)","ResponseEntity<List<UserResponseDto>>","[{""id"": 1, ""username"": ""john_doe"", ""createdAt"": ""2024-01-15T10:30:00""}, {""id"": 2, ""username"": ""jane_doe"", ""createdAt"": ""2024-01-16T09:00:00""}]"
UserController,GET,/api/v1/users/photographers/verified,Get all verified photographers with pagination,Pageable,"getVerifiedPhotographers(Pageable pageable)","ResponseEntity<Page<UserResponseDto>>","{""content"": [{""id"": 1, ""username"": ""photographer1"", ""role"": ""PHOTOGRAPHER"", ""emailVerified"": true}], ""totalElements"": 20}"
UserController,PUT,/api/v1/users/{userId}/role,Assign role to a user,@PathVariable Long userId / @RequestParam UserRole role,"assignRole(Long userId, UserRole role)","ResponseEntity<UserResponseDto>","{""id"": 1, ""username"": ""john_doe"", ""role"": ""PHOTOGRAPHER"", ""updatedAt"": ""2024-01-20T17:00:00""}"
UserController,GET,/api/v1/users/username/{username},Get user by username,@PathVariable String username,"getUserByUsername(String username)","ResponseEntity<UserResponseDto>","{""id"": 1, ""username"": ""john_doe"", ""email"": ""john@example.com"", ""firstName"": ""John"", ""lastName"": ""Doe""}"
UserController,GET,/api/v1/users/active,Get active/inactive users with pagination,@RequestParam Boolean isActive (default: true) / Pageable,"getActiveUsers(Boolean isActive, Pageable pageable)","ResponseEntity<Page<UserResponseDto>>","{""content"": [{""id"": 1, ""username"": ""john_doe"", ""isActive"": true}], ""totalElements"": 45}"
UserController,PUT,/api/v1/users/{userId}/last-login,Update user's last login timestamp,@PathVariable Long userId,"updateLastLogin(Long userId)","ResponseEntity<UserResponseDto>","{""id"": 1, ""username"": ""john_doe"", ""lastLoginAt"": ""2024-01-20T18:00:00""}"
UserController,GET,/api/v1/users/count/role/{role},Count users by specific role,@PathVariable UserRole role,"countUsersByRole(UserRole role)",ResponseEntity<Long>,"{""count"": 25}"
UserController,GET,/api/v1/users/count/active,Count all active users,None,countActiveUsers(),ResponseEntity<Long>,"{""count"": 120}"
UserController,GET,/api/v1/users/photographers/top,Get top photographers with pagination,Pageable,"getTopPhotographers(Pageable pageable)","ResponseEntity<Page<UserResponseDto>>","{""content"": [{""id"": 1, ""username"": ""top_photographer"", ""role"": ""PHOTOGRAPHER"", ""photoCount"": 500}], ""totalElements"": 10}"
UserController,POST,/api/v1/users/register-first-admin,Register first admin user (no auth required),@RequestBody UserCreateDto,"registerFirstAdmin(UserCreateDto userCreateDto)","ResponseEntity<UserResponseDto>","{""id"": 1, ""username"": ""admin"", ""email"": ""admin@example.com"", ""role"": ""ADMIN"", ""isActive"": true, ""emailVerified"": true}"
AuthController,POST,/api/auth/login,Authenticate user and generate JWT tokens,@RequestBody UserLoginDto (usernameOrEmail password),"login(UserLoginDto loginRequest)","ResponseEntity<AuthResponseDto>","{""accessToken"": ""eyJhbGciOiJIUzI1..."", ""refreshToken"": ""eyJhbGciOiJIUzI1..."", ""tokenType"": ""Bearer"", ""expiresIn"": 3600, ""user"": {""id"": 1, ""username"": ""john_doe"", ""email"": ""john@example.com"", ""role"": ""USER"", ""isActive"": true}}"
AuthController,POST,/api/auth/refresh,Generate new access token using refresh token,@RequestBody RefreshTokenRequestDto (refreshToken),"refreshToken(RefreshTokenRequestDto refreshRequest)","ResponseEntity<Map<String, Object>>","{""accessToken"": ""eyJhbGciOiJIUzI1..."", ""tokenType"": ""Bearer"", ""expiresIn"": 3600}"
AuthController,POST,/api/auth/validate,Validate user credentials without generating tokens,@RequestBody UserLoginDto (usernameOrEmail password),"validateCredentials(UserLoginDto loginRequest)","ResponseEntity<Map<String, Boolean>>","{""valid"": true}"
